Shipment_Type_ID,Cargo_Category,Cargo_Subcategory,Avg_Weight_kg,Avg_Volume_cbm,Handling_Cost,Risk_Level,Temperature_Control,SLA_Days
SHP0750,Automotive,Tyres,508.1,0.6,253.52,Low,Yes,3
SHP0751,Electronics,Accessories,295.77,8.45,58.23,Medium,No,2
SHP0752,FMCG,Packaged Food,146.64,9.26,416.81,High,No,4
SHP0753,Electronics,Mobile,373.69,8.47,314.35,High,No,3
SHP0754,Automotive,Batteries,1398.88,3.35,55.03,Medium,Yes,9
SHP0755,FMCG,Personal Care,1278.34,6.54,35.31,Medium,No,5
SHP0756,Textiles,Home Fabrics,1209.35,4.12,60.89,Medium,Yes,3
SHP0757,Pharma,Medicines,183.37,10.78,247.92,High,Yes,11
SHP0758,Electronics,Mobile,1304.53,11.23,121.29,Medium,Yes,8
SHP0759,Pharma,Medicines,653.3,11.23,462.34,High,Yes,6
SHP0760,Electronics,Laptop,647.12,6.84,475.56,High,Yes,4
SHP0761,Electronics,TV,1225.92,10.01,353.0,High,No,11
SHP0762,Textiles,Footwear,299.61,5.78,98.12,Low,No,9
SHP0763,Textiles,Home Fabrics,1111.54,1.66,384.57,Medium,Yes,13
SHP0764,Automotive,Batteries,366.77,2.05,257.81,High,Yes,9
SHP0765,Pharma,Vaccines,1400.84,10.17,264.78,High,No,12
SHP0766,Electronics,Accessories,1439.52,9.5,377.67,Low,Yes,12
SHP0767,Automotive,Spare Parts,929.69,1.22,438.2,High,No,13
SHP0768,Electronics,TV,1388.35,9.1,145.86,High,Yes,13
SHP0769,Electronics,TV,355.18,3.89,216.49,Medium,Yes,11
SHP0770,Textiles,Clothing,1410.67,10.23,219.34,Low,Yes,12
SHP0771,Automotive,Spare Parts,412.2,8.38,372.53,High,Yes,4
SHP0772,Electronics,Mobile,222.97,9.46,57.53,Low,No,12
SHP0773,Electronics,Laptop,311.15,5.82,463.75,High,No,13
SHP0774,Textiles,Home Fabrics,414.96,4.36,130.43,Low,No,11
SHP0775,Pharma,Medicines,282.01,3.63,376.06,High,Yes,6
SHP0776,Electronics,Mobile,550.16,1.13,114.36,Low,Yes,8
SHP0777,Pharma,Medical Devices,495.84,11.1,40.63,Medium,Yes,4
SHP0778,FMCG,Beverages,1473.44,8.65,392.35,Medium,No,13
SHP0779,FMCG,Beverages,10.9,1.56,78.02,Medium,Yes,12
SHP0780,Automotive,Tyres,1494.88,2.5,58.27,Medium,Yes,14
SHP0781,Automotive,Batteries,23.87,10.44,154.6,Medium,Yes,2
SHP0782,FMCG,Packaged Food,901.71,6.37,57.67,Low,Yes,8
SHP0783,Electronics,TV,722.82,10.82,421.93,Medium,No,8
SHP0784,Textiles,Footwear,374.69,0.11,449.77,Low,No,2
SHP0785,Pharma,Vaccines,685.58,9.02,15.74,High,No,9
SHP0786,FMCG,Personal Care,1186.73,6.41,140.82,High,Yes,2
SHP0787,Textiles,Clothing,75.99,10.98,230.81,Medium,No,3
SHP0788,Textiles,Clothing,661.91,11.64,357.56,Low,No,11
SHP0789,FMCG,Packaged Food,1090.01,1.36,350.28,Medium,No,13
SHP0790,Electronics,Mobile,922.12,4.92,417.14,Low,No,14
SHP0791,Pharma,Medical Devices,837.78,1.33,14.47,Medium,Yes,13
SHP0792,FMCG,Packaged Food,1.21,7.71,255.37,Low,No,1
SHP0793,Automotive,Spare Parts,210.23,1.15,196.28,Low,No,13
SHP0794,Electronics,TV,352.73,4.53,409.5,High,No,11
SHP0795,Automotive,Tyres,233.45,0.34,57.37,Low,No,2
SHP0796,Automotive,Batteries,331.36,9.15,63.35,High,No,14
SHP0797,FMCG,Beverages,1362.57,10.9,400.32,Medium,No,9
SHP0798,Electronics,Laptop,417.55,2.44,51.16,Low,No,8
SHP0799,Pharma,Medical Devices,1122.81,3.46,140.58,Low,Yes,3
SHP0800,FMCG,Beverages,526.44,4.64,208.1,Medium,Yes,2
